Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.93248195223816E-15,-8.85402862138562E-15,-0.185059211902818,0,0,0,0.523412725104608,0.0910156280985819,-1.89735380184971E-16,2.8165359896208E-17,0.0910136332593244,-4.53168684381061E-16,0.126397324140064,0,0,0,0,0,0,package://armhum6/meshes/base_link.STL,0.00784313725490196,0.23921568627451,0.823529411764706,1,0,0,0,0,0,0,package://armhum6/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
top-link,-4.67723785742002E-05,2.30554230845614E-08,0.0232375072219701,0,0,0,0.00734463434724172,6.66675171615578E-07,2.37767693918994E-12,-1.96968750445307E-10,1.59431490534566E-06,2.24673253636865E-12,1.2315954297594E-06,0,0,0,0,0,0,package://armhum6/meshes/top-link.STL,1,0.690196078431373,0.509803921568627,1,0,0,0,0,0,0,package://armhum6/meshes/top-link.STL,,top-link-1,Origin_joint1,Axis_joint1,joint1,continuous,0,0,-0.051,0,0,0.0209138165636579,base_link,0,0,1,0,0,0,6,,,,0.01,,,,
crossbar1,1.00137396916167E-08,8.56077458921689E-10,6.40373767901714E-10,0,0,0,0.00235911157708547,2.29651648984905E-07,8.58509279831178E-15,4.33752665624393E-15,4.41657972153878E-07,8.84534542379393E-16,2.29651496122624E-07,0,0,0,0,0,0,package://armhum6/meshes/crossbar1.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://armhum6/meshes/crossbar1.STL,,crossbar-1,Origin_joint2,Axis_joint2,joint2,revolute,0,0,0.008,1.5708,0,0,top-link,1,0,0,2,2,-1.5,1.5,,,,0.01,,,,
middle-link,-3.62208064747099E-05,2.10896379700121E-08,-0.182316330263296,0,0,0,0.0188050348545265,0.000409979396090837,8.57838434093389E-11,-1.17762824236184E-09,0.000411743915509089,4.54699290001078E-11,2.29220461469508E-06,0,0,0,0,0,0,package://armhum6/meshes/middle-link.STL,1,0.937254901960784,0.137254901960784,1,0,0,0,0,0,0,package://armhum6/meshes/middle-link.STL,,middle-link-1,Origin_joint3,Axis_joint3,joint3,revolute,0,0,0,1.5708,-1.5708,0,crossbar1,1,0,0,2,2,-1.5,1.5,,,,0.01,,,,
crossbar2,1.00137396916167E-08,-8.56077486677265E-10,-6.40373733207245E-10,0,0,0,0.00235911157708547,2.29651648984906E-07,-8.58509275722188E-15,-4.33752673358532E-15,4.41657972153878E-07,8.845345596499E-16,2.29651496122624E-07,0,0,0,0,0,0,package://armhum6/meshes/crossbar2.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://armhum6/meshes/crossbar2.STL,,crossbar2-2,Origin_joint4,Axis_joint4,joint4,revolute,0,0,-0.364,-1.5708,0,3.1416,middle-link,1,0,0,0,0,-1.5,1.5,,,,0.01,,,,
end-effector,1.5247481298386E-08,-9.62803350934571E-10,-0.0310990514764574,0,0,0,0.0160172035883256,4.29194371078775E-06,1.44485731659268E-12,-5.74857545356207E-12,5.15110528669366E-06,3.95136243790226E-13,2.54716494152254E-06,0,0,0,0,0,0,package://armhum6/meshes/end-effector.STL,0.694117647058824,0.0980392156862745,0.0980392156862745,1,0,0,0,0,0,0,package://armhum6/meshes/end-effector.STL,,end-effector-1,Origin_joint5,Axis_joint5,joint5,revolute,0,0,0,1.5708,1.5708,0,crossbar2,1,0,0,0,0,-1.5,1.5,,,,0.01,,,,
