Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,8.94290462428726E-05,2.78483347493363E-10,-0.208778551951711,0,0,0,0.449330133854053,0.0539092238947072,-1.7562186006245E-12,-8.29193804528805E-06,0.0539103657676842,-1.71571228617907E-11,0.0602540208531343,0,0,0,0,0,0,package://arm_light9/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_light9/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_up,-7.30702054418941E-10,6.31382612858999E-10,0.0137182340788042,0,0,0,0.00271384463303043,2.55706917709004E-07,3.66626721136024E-14,-1.21345198507066E-14,7.65929454031126E-07,1.75042183249186E-14,5.4854582703903E-07,0,0,0,0,0,0,package://arm_light9/meshes/link_up.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_light9/meshes/link_up.STL,,link_up-1,Origin_joint12,Axis_joint12,joint1,continuous,0,0,-0.015457,-3.1416,0,0,base_link,0,0,1,0,0,0,6,,,,0.01,,,,
crossbar1,-2.9141502433383E-08,-1.35715272353565E-10,-3.10173056128349E-08,0,0,0,0.00146868153142243,9.37700107469679E-08,-2.04043583279686E-14,2.11690645332782E-16,1.82956722375402E-07,4.16688239815433E-15,9.37699903359982E-08,0,0,0,0,0,0,package://arm_light9/meshes/crossbar1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_light9/meshes/crossbar1.STL,,crossbar1-1,Origin_joint22,Axis_joint22,joint2,continuous,0,0,0.0295,-1.5708,0,0,link_up,1,0,0,,,,,,,,0.01,,,,
link_middle,1.53740309372097E-08,2.43111719644418E-08,0.175502855957032,0,0,0,0.0113939749912111,0.000184717795085116,-2.12361111057736E-12,-8.31018622091395E-12,0.000185738466505756,1.42198467361369E-11,1.11626506835403E-06,0,0,0,0,0,0,package://arm_light9/meshes/link_middle.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_light9/meshes/link_middle.STL,,link_middle-1,Origin_joint32,Axis_joint32,joint3,continuous,0,0,0,1.5708,1.5708,0,crossbar1,1,0,0,,,,,,,,,,,,
crossbar2,-2.91415096498326E-08,-1.35718020155551E-10,-3.1017304169545E-08,0,0,0,0.00146868153142241,9.37700107469651E-08,-2.04043577480892E-14,2.11690703891051E-16,1.829567223754E-07,4.1668823669535E-15,9.3769990335999E-08,0,0,0,0,0,0,package://arm_light9/meshes/crossbar2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_light9/meshes/crossbar2.STL,,crossbar2-1,Origin_joint42,Axis_joint42,joint4,continuous,0,0,0.351,-1.5708,0,1.5708,link_middle,0,0,1,,,,,,,,0.01,,,,
end_effector,4.75393613363906E-10,-3.04907765702467E-10,-0.0405659213973987,0,0,0,0.0215930283892407,4.36749924006053E-06,-1.48655886188051E-13,-1.80318003777662E-13,4.87786085449838E-06,8.34458849125056E-14,4.1413060831826E-06,0,0,0,0,0,0,package://arm_light9/meshes/end_effector.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_light9/meshes/end_effector.STL,,link_down-1,Origin_joint52,Axis_joint52,joint5,continuous,0,0,0,-1.5708,0,0,crossbar2,1,0,0,,,,,,,,0.01,,,,
